# mu freq sigma_base sigma_full diff
2.30 0.165372 0.0557713 -0.0735971 0.129368
2.30 0.165739 0.0764709 -0.0293471 0.105818
2.30 0.166107 0.0685839 -0.0042991 0.072883
2.30 0.166474 0.0417307 -0.00628304 0.0480137
2.30 0.166842 0.0461596 0.028969 0.0171906
2.30 0.167209 0.0331921 0.0156622 0.0175299
2.30 0.167577 0.0354027 0.0051118 0.0302909
2.30 0.167944 0.0523496 0.0304985 0.0218511
2.30 0.168312 0.0297731 0.031062 -0.0012889
2.30 0.168679 0.0216723 0.0665818 -0.0449095
2.30 0.169047 0.0144693 0.07984 -0.0653707
2.30 0.169414 -0.0155621 0.0421731 -0.0577352
2.30 0.169782 -0.00882928 0.0552472 -0.0640765
2.30 0.170149 0.000394338 0.0487018 -0.0483075
2.30 0.170517 0.00109193 0.0245793 -0.0234874
2.30 0.170884 0.0201466 0.0417826 -0.021636
2.30 0.171252 0.0151886 0.0300612 -0.0148726
2.30 0.171619 0.0144324 0.0459304 -0.031498
2.30 0.171987 0.0282868 0.0673764 -0.0390896
2.30 0.172354 0.0196427 0.0103767 0.009266
2.30 0.172722 0.0284748 0.00264538 0.0258294
2.30 0.173089 0.0308474 0.0189851 0.0118623
2.30 0.173457 0.00025641 -0.0120135 0.0122699
2.30 0.173824 -0.0171173 -0.00242291 -0.0146944
2.30 0.174192 -0.0446551 -0.00284656 -0.0418085
2.30 0.174559 -0.0682054 -0.00453598 -0.0636694
2.30 0.174927 -0.0641853 0.0300035 -0.0941888
2.30 0.175294 -0.0760182 -0.000611058 -0.0754071
2.30 0.175662 -0.0616378 -0.0132621 -0.0483757
2.30 0.176029 -0.0289196 0.0138379 -0.0427575
2.30 0.176397 -0.0367144 -0.0238474 -0.012867
2.30 0.176764 -0.0261018 -0.0228311 -0.0032707
2.30 0.177132 -0.00878058 -0.00200486 -0.00677572
2.30 0.177499 -0.0188554 -0.021284 0.0024286
2.30 0.177867 -0.0137882 0.011972 -0.0257602
2.30 0.178234 -0.0299569 0.0134576 -0.0434145
2.30 0.178602 -0.0490728 -0.0085191 -0.0405537
2.30 0.178969 -0.0261256 0.0393899 -0.0655155
2.30 0.179337 -0.0192629 0.0302441 -0.049507
2.30 0.179704 -0.00247273 0.000884683 -0.00335741
2.30 0.180072 0.0302064 0.01372 0.0164864
2.30 0.180439 0.0231918 -0.0280425 0.0512343
2.30 0.180807 0.0311726 -0.0492675 0.0804401
2.30 0.181174 0.0407054 -0.0469038 0.0876092
2.30 0.181542 0.0197648 -0.0675149 0.0872797
